address,tagname,description,SCADA_tagname,type,source
3.01,CR301,"""VACUUM PUMP 2ND SETPOINT""",[],BOOL,PLC
3.02,CR302,"""SPARE""",[],BOOL,PLC
3.03,CR303,"""SEPARATOR EXTRACT PUMP 2ND SETPOINT""",[],BOOL,PLC
3.04,CR304,"""HOT WATER 2ND SETPOINT""",[],BOOL,PLC
3.06,STER_V116,"""Vert. Condenser Cooling Water Valves""",['STER_V116'],BOOL,BOTH
3.07,CR307,"""to P117 controller to change speed durring caus...""",[],BOOL,PLC
3.08,STER_PROCESS_ALARM,"""AUDIBLE ALARM BUZZER""",['STER_PROCESS_ALARM'],BOOL,BOTH
3.09,CR309,"""VISUAL ALARM WARNING BEACON""",[],BOOL,PLC
3.10,STERILIZER_TO_EXT_VALVE,"""Sterilizer to Ext. Valve""",[],BOOL,PLC
3.11,VERT_CONDENSER_CONDENSATE_RETURN,"""Vert. Condenser Condensate Return (V114) 1=off""",['STER_V114'],BOOL,BOTH
3.12,STER_V115,"""Vert. Condenser CIP Valve""",['STER_V115'],BOOL,BOTH
3.13,CR313,"""BCD #2 I/O COMM. OMRON PLC""",[],BOOL,PLC
3.14,CR314,"""BCD #3 I/O COMM. OMRON PLC""",[],BOOL,PLC
3.15,CR315,"""BCD #4 I/O COMM. OMRON PLC""",[],BOOL,PLC
300.00,ALWAYSMINUSFALSE,""" """,[],BOOL,PLC
301.00,PULSEMINUS1MINUS1,"""PULSATION 1 SEC. ON 1 SEC. OFF""",[],BOOL,PLC
301.03,Tag_10SECONDSMINUS3,"""10 SECONDS PULSATION""",[],BOOL,PLC
305.00,P207CNT,"""COUNTER PUMP 207""",[],BOOL,PLC
305.01,ONDIVIDEOFFP207,"""ON/OFF PUMP P207""",[],BOOL,PLC
305.03,P208CNT,"""PUMP P208 WEST RESET""",[],BOOL,PLC
305.04,ONDIVIDEOFFP208,"""ON/OFF PUMP P208""",[],BOOL,PLC
305.10,VTLAMP,"""VOTATOR LAMP FLASH""",[],BOOL,PLC
306.00,STERILMINUSTKMINUSWATE2,"""STERILE TANK WATER CONTROL""",[],BOOL,PLC
310.00,V88AM,""" """,[],BOOL,PLC
