address,tagname,description,SCADA_tagname,type,source
501.00,LLST,"""LOW LEVEL STERILE TANK >10%""",[],BOOL,PLC
501.01,STERIL_TK_25,"""Steril TK > 25%""",[],BOOL,PLC
501.02,MLST,"""MID LEVEL STERILE TANK >15%""",[],BOOL,PLC
501.03,STK_25PERCENT,"""Steril Tank >30%""",[],BOOL,PLC
501.04,HLST,"""HIGH LEVEL STERILE TANK >80%""",[],BOOL,PLC
501.05,STK_35PERCENT,"""Steril Tank >35%""",[],BOOL,PLC
501.06,STLOWALARM,"""STERILE TANK LOW LEVEL ALARM <6%""",[],BOOL,PLC
501.07,STLOWACK,"""STERILE TANK LOW LEVEL ALARM CANCEL""",[],BOOL,PLC
501.08,STHIGHALARM,"""STERILE TANK HIGH ALARM >90%""",[],BOOL,PLC
501.09,STHIGHCANCEL,"""STERILE TANK HIGH LEVEL ALARM CANCEL""",[],BOOL,PLC
501.10,STER_LVL_8PERCENT,"""STER TK < 8% ""Open V77 to clean out Chemetator""""",[],BOOL,PLC
501.11,VERYMINUSLOWMINUSLEVEL,"""RESET VOTATOR LOW LEVEL STERILE TANK 3%""",[],BOOL,PLC
501.12,STTKLESS90PERCENT,"""STERILE TANK LEVEL LESS THAN 90%""",[],BOOL,PLC
501.13,STTKHIGH85PERCENT,"""STERILE TANK LEVEL greater than 85%""",[],BOOL,PLC
501.14,STKLEVELGRTRTHAN95PERCENT,"""STERILE TANK LEVEL MORE THAN 95%""",[],BOOL,PLC
502.00,HIGHPRESSW,"""HIGH PRESSURE SWITCH ALARM""",[],BOOL,PLC
502.01,PRESWAK,"""PRESURE ALARM ACK""",[],BOOL,PLC
502.04,LOWTEMPALARM,"""LOW TEMP. ALARM""",[],BOOL,PLC
502.05,LOWTEMPACK,"""LOW TEMPERATURE ALARM ACKNOWLEDGE""",[],BOOL,PLC
502.08,SEPLEVELALARM,"""SEPARATOR LEVEL ALARM""",[],BOOL,PLC
502.09,SEPALARMACK,"""SEPARATOR LEVEL ALARM ACK.""",[],BOOL,PLC
502.12,VACUUMALARM,"""LOW VACUUM ALARM""",[],BOOL,PLC
502.13,VACUUMALARACK,"""VACUUM ALARM ACK.""",[],BOOL,PLC
502.14,BALANCE_TANK_35,"""Balance Tank > 35%""",[],BOOL,PLC
502.15,BALANCE_TANK_45,"""Balance Tank > 45%""",[],BOOL,PLC
503.00,STER_VSD_FAULT_ALARM,"""STER_PUMPS_VSD_FAULT""",['STER_VSD_FAULT_ALARM'],BOOL,BOTH
503.01,VSDALARMACK,"""VSD ALARM ACKNOWLEDGE""",[],BOOL,PLC
503.02,BALANCE_TANK_LEVEL_13,"""Balance Tank level >13% durring water Steriliza...""",[],BOOL,PLC
503.10,BT_30,"""BT > 30%""",[],BOOL,PLC
503.11,BT_6,"""BT < 6%""",[],BOOL,PLC
504.00,STER_LEVEL_ALARM,"""STERILE TANK LOW LEVEL""",['STER_LEVEL_ALARM'],BOOL,BOTH
504.01,STLOWLEVELRES,"""STERILE TANK LOW LEVEL ALARM RESET <8%""",[],BOOL,PLC
504.05,BT_35PERCENT,"""BALANC TANK LEVEL >35%""",[],BOOL,PLC
504.07,BALANCE_TANK_LEVEL,"""BALANCE TANK LEVEL > 68%""",[],BOOL,PLC
504.10,STER_TOGGLE_SWITCH_ALERT,"""Sterilizer Panel Toggle Switch in MAN""",['STER_TOGGLE_SWITCH_ALERT'],BOOL,BOTH
504.11,STER_RECLAIM_PUMP_TRIPPED,"""Chemetator Recovery Tank Pump Overload""",['STER_RECLAIM_PUMP_TRIPPED'],BOOL,BOTH
504.12,STER_RECLAIM_TANK_LEVEL,"""Chemetator Recovery Tank HI Level""",['STER_RECLAIM_TANK_LEVEL'],BOOL,BOTH
506.00,PROCESS_RUNNING,"""Process Running""",[],BOOL,PLC
506.01,SHUT_DOWN_IN_PROGRESS,"""Shut Down in Progress""",[],BOOL,PLC
506.02,CIP_IN_PROGRESS,"""CIP in Progress""",[],BOOL,PLC
506.03,CHEMETATOR_PARKED,"""Chemetator Parked""",[],BOOL,PLC
506.05,UNKNOWN_STATE_CRASHED,"""Unknown State / Crashed""",[],BOOL,PLC
506.06,CIP_TOO_LONG,"""CIP TOO LONG""",[],BOOL,PLC
506.07,STER_PH_SFTK_INTLK,"""SFTK Interlock to Sterilzer for CIP""",['STER_PH_SFTK__INTLK'],BOOL,BOTH
508,Sterilizer_ADDR_508,,[],DINT,PLC
509.00,BCDHASH4,"""COMMUNICATION TO 2ND OMRON PLC""",[],BOOL,PLC
509.01,BCDHASH3,"""COMMUNICATION TO 2ND OMRON PLC""",[],BOOL,PLC
509.02,BCDHASH2,"""COMMUNICATION TO 2ND OMRON PLC""",[],BOOL,PLC
510,Sterilizer_ADDR_510,,[],DINT,PLC
6.00,LA600,"""STERILE TANK LEVEL ALARM""",[],BOOL,PLC
6.01,LA601,"""VARIABLE SPED DRIVE FAULT LAMP""",[],BOOL,PLC
6.02,STER_IND_ACID,"""ACID WASH LAMP""",['STER_IND_ACID'],BOOL,BOTH
6.03,STER_IND_WATER_RINSE3,"""WATER RINSE #3 LAMP""",['STER_IND_WATER_RINSE3'],BOOL,BOTH
6.04,LA604,"""LOW TEMPERATURE ALARM LAMP""",[],BOOL,PLC
6.05,LA605,"""HIGH PRESSURE ALARM LAMP""",[],BOOL,PLC
6.06,STER_V111,"""CIP RETURN TO STERILE TANK V111""",['STER_V111'],BOOL,BOTH
6.07,STER_V112,"""CIP REtURN TO DRAIN V112""",['STER_V112'],BOOL,BOTH
6.08,STER_V113,"""Vert. Condenser Drain Valve""",['STER_V113'],BOOL,BOTH
6.09,BIT609,"""2 LINE DISPLAY BIT#0""",[],BOOL,PLC
6.10,BIT610,"""2 LINE DISPLAY BIT#1""",[],BOOL,PLC
6.11,BIT611,"""2 LINE DISPLAY BIT#2""",[],BOOL,PLC
6.12,BIT612,"""2 LINE DISPLAY BIT#3""",[],BOOL,PLC
6.13,BIT613,"""2 LINE DISPLAY BIT#4""",[],BOOL,PLC
6.14,BIT614,"""2 LINE DISPLAY BIT#5""",[],BOOL,PLC
6.15,BIT615,"""2 LINE DISPLAY BIT#6""",[],BOOL,PLC
CNT005,BELLMINUSPULSE2_STATUS,"""2 PULSES""",[],COUNTER,PLC
CNT006,BELLMINUSPULSE4_STATUS,"""4 PULSES""",[],COUNTER,PLC
CNT007,VERT_CONDENSER_CIP_COUNTER,"""Vert. Condenser CIP Counter""",[],COUNTER,PLC
CNT010,CNTP207_STATUS,"""COUNTER P207""",[],COUNTER,PLC
CNT011,CNTP208_STATUS,"""COUNTER P208""",[],COUNTER,PLC
CNT012,STERILMINUSTKMINUSWATER_STATUS,"""STERILE TANK WATER CTRL""",[],COUNTER,PLC
CNT050,CIPMINUSPULSEMINUSINDEX_STATUS,"""INDEX FOR CIP PULSATION""",[],COUNTER,PLC
CNT10,CNTP207_PV,"""COUNTER P207""",[],REAL,PLC
CNT11,CNTP208_PV,"""COUNTER P208""",[],REAL,PLC
CNT12,STERILMINUSTKMINUSWATER_PV,"""STERILE TANK WATER CTRL""",[],REAL,PLC
CNT301,Tag_1H45M_COUNTER,"""1H45m Counter""",[],COUNTER,PLC
CNT305,CIP_DURATION_COUNTER,"""CIP Duration Counter""",[],COUNTER,PLC
CNT50,CIPMINUSPULSEMINUSINDEX_PV,"""INDEX FOR CIP PULSATION""",[],REAL,PLC
DM1000,AC1C1LL,"""LOWER LIMIT""",[],REAL,PLC
DM1001,AC1C1UL,"""UPPER LIMIT""",[],REAL,PLC
DM1002,AC1C2LL,"""LOWER LIMIT""",[],REAL,PLC
DM1003,AC1C2UL,"""UPPERLIMIT""",[],REAL,PLC
DM1004,AC1C3LL,"""LOWER LIMIT""",[],REAL,PLC
DM1005,AC1C3UL,"""UPPER LIMIT""",[],REAL,PLC
DM1006,AC1C4LL,"""LOWER LIMIT""",[],REAL,PLC
DM1007,AC1C4UL,"""UPPER LIMIT""",[],REAL,PLC
DM1100,AC2C1LL,"""LOWER LIMIT""",[],REAL,PLC
DM1101,AC2C1UL,"""UPPER LIMIT""",[],REAL,PLC
DM1102,AC2C2LL,"""LOWER LIMIT""",[],REAL,PLC
DM1103,AC2C2UL,"""UPPER LIMIT""",[],REAL,PLC
DM1104,AC2C3LL,"""LOWER LIMIT""",[],REAL,PLC
DM1105,AC2C3UL,"""UPPER LIMIT""",[],REAL,PLC
DM1106,AC2C4LL,"""LOWER LIMIT""",[],REAL,PLC
DM1107,AC2C4UL,"""UPPER LIMIT""",[],REAL,PLC
DM410,CONDUCTIVITY,"""Conductivity Scaled 0 - 99.99 ms/cm (0 - 9999)""",[],REAL,PLC
DM420,STERILIZER_RUNNING_STATUS,"""2'=S/D, 3=CIP, 4=Park, 5=CIP>Target, 6=??'""","['STERILIZER_RUNNING_STATUS', 'STERILIZER_STATUS_PASSTHRU']",REAL,BOTH
DM500,STER_TR74_BEFORE_LOOP,"""STERILE LOOP TEMP (Before Loop)""","['STER_TR74_EXCEPTION_AI', 'STER_TR74_BEFORE_LOOP']",REAL,BOTH
DM501,STER_TR74_STPT_AI,"""TR74 SETPOINT""","['STER_TR74_STPT_AR', 'STER_TR74_STPT_AI', 'STER_TR74_STPT_AO']",REAL,BOTH
DM510,STER_VAC,"""STERILIZER VACUUM LOW (PICA70)""",['STER_VAC'],REAL,BOTH
DM520,STER_LEVEL_SEP,"""SEPARATOR LEVEL""","['STER_LEVEL_SEP_CIP', 'STER_LEVEL_SEP']",REAL,BOTH
DM521,STER_LEVEL_SEP_STPT_AI,"""SEPARATOR LEVEL""","['STER_LEVEL_SEP_STPT_AR', 'STER_LEVEL_SEP_STPT_AI', 'STER_LEVEL_SEP_STPT_AO']",REAL,BOTH
DM530,STER_FLOW_PASSTHRU,"""Sterilizer Flowrate to Chemetaor PLC""","['STER_FLOW_PASSTHRU', 'STER_FLOW_CIP', 'STER_FLOW']",REAL,BOTH
DM910,STER_TO_DRIER_CIP_STEP,"""CIP SQUENCE TO DRIER PLC TO SET P117 P66 SPEED""",['STER_TO_DRIER_CIP_STEP'],REAL,BOTH
DM99,CIPMINUSPULSATION,"""CIP PULSATION REFERENCE""",[],REAL,PLC
HR0.01,V411PULSE,"""TO KEEP THE STERILE TANK SPRAY VALVE OPEN FOR 6...""",[],BOOL,PLC
TIM000,TIMER0_STATUS,"""PULSE 1 SEC. ON 1 SEC. OFF""",[],TIMER,PLC
TIM001,TIMER1_STATUS,"""PULSE 1 SEC. ON 1 SEC. OFF""",[],TIMER,PLC
TIM002,Tag_10SECONDS_STATUS,"""10 SECONDS PULSATION""",[],TIMER,PLC
TIM003,Tag_1MINUSSECONDSMINUS2_STATUS,"""10 SECONDS PULSATION""",[],TIMER,PLC
TIM017,_10_SEC_PULSE_STATUS,"""10 sec pulse every 10 min""",[],TIMER,PLC
TIM018,Tag_15SEC_PULSE_STATUS,"""15 sec pulse every 5 min""",[],TIMER,PLC
TIM203,PS4TIMER_STATUS,"""DELAY AFTER VACUUM""",[],TIMER,PLC
TIM205,PS7TIMER_STATUS,"""DELAY BEFORE STEAM""",[],TIMER,PLC
TIM207,PS9TIMER_STATUS,"""STERILIZATION TIME""",[],TIMER,PLC
TIM208,STERILIZATION_TIME_MORE_TIME,"""Sterilization Time (more time)""",[],TIMER,PLC
TIM209,PS12TIMER_STATUS,"""DELAY FOR SEPARATOR LEVEL""",[],TIMER,PLC
TIM211,PS14TIMER_STATUS,"""DELAY BEFORE MONITORING ""keep V-104 open to Dra...""",[],TIMER,PLC
TIM215,LOWTEMPREC_STATUS,"""LOW TERMPERATURE MINIMUM REC. TIME""",[],TIMER,PLC
TIM222,CS2TIMER_STATUS,"""DELAY AFTER LOW LEVEL B.T.""",[],TIMER,PLC
TIM224,CS3TIMER_STATUS,"""DELAY BEFORE VOTATOR START""",[],TIMER,PLC
TIM226,CS4TIMER_STATUS,"""DELAY BEFORE STEAM""",[],TIMER,PLC
TIM228,CS5TIMER_STATUS,"""PRERINSE TIME""",[],TIMER,PLC
TIM230,CS7TIMER_STATUS,"""RINSE TIME""",[],TIMER,PLC
TIM232,CS10TIMER_STATUS,"""STOP PULSATION VOTATOR""",[],TIMER,PLC
TIM234,CS13TIMER_STATUS,"""DETERGENT TIME #1""",[],TIMER,PLC
TIM235,CS13MINUS2TIMER_PV,"""DETERGENT TIME""",[],TIMER,PLC
TIM236,CS14TIMER_STATUS,"""RINSE RECIRCULATION""",[],TIMER,PLC
TIM238,CS15TIMER_STATUS,"""DELAY BEFORE EMPTYING B.T.""",[],TIMER,PLC
TIM240,CS17TIMER_STATUS,"""SYSTEM IN RECIRCULATION""",[],TIMER,PLC
TIM242,CS20TIMER_STATUS,"""ACID TIME 10 MIN.""",[],TIMER,PLC
TIM243,ACID_MONTHLY_TIME_15,"""ACID MONTHLY TIME 15 MIN.""",[],TIMER,PLC
TIM244,CS22TIMER_STATUS,"""FLUSH TO DRAIN""",[],TIMER,PLC
TIM246,CS23TIMER_STATUS,"""DELAY BEFORE EMPTYING B.T.""",[],TIMER,PLC
TIM250,SS2TIMER_STATUS,"""WATER FEED""",[],TIMER,PLC
TIM252,SS3TIMER_STATUS,"""EMPTY SEPARATOR""",[],TIMER,PLC
TIM254,SS5TIMER_STATUS,"""DELAY BEFORE WATER TO DRAIN""",[],TIMER,PLC
TIM256,SS6TIMER_STATUS,"""SYSTEM IN RECIRCULATION""",[],TIMER,PLC
TIM257,SS6ATIMER_STATUS,"""10 min delay before stop steam,and P64,72""",[],TIMER,PLC
TIM258,SS7TIMER_STATUS,"""EMPTY STERILE TANK""",[],TIMER,PLC
TIM260,SS9TIMER_STATUS,"""RECIRCULATION""",[],TIMER,PLC
TIM262,SS10TIMER_STATUS,"""STOP STEAM""",[],TIMER,PLC
TIM264,SS11TIMER_STATUS,"""SHUTDOWN COMPLETED""",[],TIMER,PLC
TIM265,SPARE_STATUS,"""SPARE_Status""",[],TIMER,PLC
TIM266,Tag_5SEC_DELAY_STATUS,"""Sterile tank low level 3 sec delay timer""",[],TIMER,PLC
TIM270,WS1TIMER_STATUS,"""COMPENSATE WATER""",[],TIMER,PLC
TIM272,WS2TIMER_STATUS,"""CLOSE WATER VALVE""",[],TIMER,PLC
TIM274,SLCS1TIMER_STATUS,"""DELAY BEFORE RECIR.""",[],TIMER,PLC
TIM275,SLCS2TIMER_STATUS,"""RECIRCULATION TIME""",[],TIMER,PLC
TIM280,ACID_INJECTION_DONE,"""Sanitizer injection duration timer""",[],TIMER,PLC
TIM282,ACID_MONTHLY_INJECTION_TIMER,"""ACID MONTHLY INJECTION TIMER""",[],TIMER,PLC
TIM290,Tag_3_MIN_TIMER,"""3 min Timer""",[],TIMER,PLC
TIM292,Tag_10_MIN_TIMER,"""10 min Timer""",[],TIMER,PLC
TIM293,Tag_2_MIN_TIMER,"""2 min timer""",[],TIMER,PLC
TIM294,Tag_3_SEC_TIMER,"""3 sec timer""",[],TIMER,PLC
TIM296,CAUSTIC_MAX_DURATION_TIMER,"""Caustic Max. Duration Timer""",[],TIMER,PLC
TIM298,CAUSTIC_PUMP_STOP_DELAY,"""Caustic Pump Stop Delay Timer""",[],TIMER,PLC
TIM304,RINSE_2_MAX_TIME,"""Rinse #2 Max Time""",[],TIMER,PLC
TIM308,DELAY_FOR_VERT_CONDENSER,"""Delay for Vert. Condenser Back Flush""",[],TIMER,PLC
TIM309,END_OF_BACK_FLUSH,"""End of Back Flush""",[],TIMER,PLC
TIM311,P67_OFF_TIME,"""P67 OFF Time""",[],TIMER,PLC
DM511,STER_VAC_STPT_AR,"""(NGC)""","['STER_VAC_STPT_AR', 'STER_VAC_STPT_AO']",DINT,BOTH
DM519,STER_VAC_STPT_AI,"""STERILIZER VAC STPT""",['STER_VAC_STPT_AI'],DINT,SCADA
DM516,STER_VAC_OUT_AI,"""STER VAC PID OUTPUT""",['STER_VAC_OUT_AI'],DINT,SCADA
DM506,STER_TR74_OUT_AI,"""STER TR74 PID OUTPUT""",['STER_TR74_OUT_AI'],DINT,SCADA
DM526,STER_LEVEL_SEP_OUT_AI,"""STER SEPARATOR LEVEL PID OUTPUT""",['STER_LEVEL_SEP_OUT_AI'],DINT,SCADA
DM531,STER_FLOW_STPT_AR,"""(NGC)""","['STER_FLOW_STPT_AR', 'STER_FLOW_STPT_AI', 'STER_FLOW_STPT_AO']",DINT,BOTH
DM536,STER_FLOW_OUT_AI,"""STER FLOW PID OUTPUT""",['STER_FLOW_OUT_AI'],DINT,SCADA
DM411,STER_CIP_COND_STPT,"""Sterilizer CIP Conductivity Setpoint (mS)""",['STER_CIP_COND_STPT'],DINT,SCADA
482.01,STER_CIP_AUTO_PB_DI,"""""",['STER_CIP_AUTO_PB_DI'],BOOL,SCADA
490.11,STER_490_11,"""""",['STER_490_11'],BOOL,SCADA
490.10,STER_490_10,"""""",['STER_490_10'],BOOL,SCADA
482.00,STER_CIP_MANUAL_PB_DI,"""""",['STER_CIP_MANUAL_PB_DI'],BOOL,SCADA
482.02,STER_CIP_MONTH_PB_DI,"""""",['STER_CIP_MONTH_PB_DI'],BOOL,SCADA
482.03,STER_CIP_SHORT_PB_DI,"""""",['STER_CIP_SHORT_PB_DI'],BOOL,SCADA
TC245,STER_TIM_245,"""TIMER 245 STATUS""",['STER_TIM_245'],BOOL,SCADA
TC247,STER_TIM_247,"""TIMER 247 STATUS""",['STER_TIM_247'],BOOL,SCADA
TC248,STER_TIM_248,"""TIMER 248 STATUS""",['STER_TIM_248'],BOOL,SCADA
TC249,STER_TIM_249,"""TIMER 249 STATUS""",['STER_TIM_249'],BOOL,SCADA
233.06,STER_P118_START_DO,"""P118 PUSH BUTTON""",['STER_P118_START_DO'],BOOL,SCADA
481.03,STER_CIP_SHORT_DO,"""STERILIZER CIP""","['STER_CIP_SHORT_DO', 'STER_CIP_SHORT_MDO']",BOOL,BOTH
481.02,STER_CIP_MONTH_DO,"""STERILIZER CIP""","['STER_CIP_MONTH_DO', 'STER_CIP_MONTH_MDO']",BOOL,BOTH
481.00,STER_CIP_MANUAL_DO,"""STERILIZER CIP""","['STER_CIP_MANUAL_DO', 'STER_CIP_MANUAL_MDO']",BOOL,BOTH
481.01,STER_CIP_AUTO_DO,"""STERILIZER CIP""","['STER_CIP_AUTO_DO', 'STER_CIP_AUTO_MDO']",BOOL,BOTH
DM541,STER_CIP_CAUSTIC_PULSE_PREV,"""STERILIZER CIP CAUSTIC FLOW PULSE TOT""",['STER_CIP_CAUSTIC_PULSE_PREV'],DINT,SCADA
DM539,STER_CIP_CAUSTIC_PULSE,"""STER CIP CAUSTIC FLOW PULSE (2lt/p)""",['STER_CIP_CAUSTIC_PULSE'],DINT,SCADA
102,STERILE_TK_TEMP,"""sterile tank temp""",['STERILE_TK_TEMP'],DINT,SCADA
DM481,STER_TR74,"""STERILE LOOP TEMP (Before Loop)""",['STER_TR74'],DINT,SCADA
DM480,STER_TR74A,"""STERILE LOOP TEMP (After Loop)""",['STER_TR74A'],DINT,SCADA
489.14,STER_CIP_DTRGNT_FLOW_LO,"""Sterilizer CIP Detergent Flow Low""",['STER_CIP_DTRGNT_FLOW_LO'],BOOL,SCADA
490.07,STER_CIP_DTRGNT_COND_LO,"""Sterilizer CIP Detergent Conductivity LO""",['STER_CIP_DTRGNT_COND_LO'],BOOL,SCADA
254.00,SYS_WATCH_STER_OPEN,"""MONITOR 1 MIN TIMER 254.0""","['SYS_WATCH_STER_OPEN', 'SYS_WATCH_STER_CLOSE']",BOOL,BOTH
506.08,STER_PH_SFTK_INTLK_ALM,"""Cannot Start CIP - Close Outlet Valves""",['STER_PH_SFTK_INTLK_ALM'],BOOL,SCADA
