address,real_address,prefix,number,tagname,description,tag_type,source,alias,parent,SCADA_tagname
D32556,D32556,D,32556,EXT_PRT4_POSTW4_WTOT,"""PRT4 PostW4 Water Total (OMR D32556)""",REAL,BOTH,,,"['N_PRE_PRT4_POSTW4_WTOT_AI', 'N_PRE_PRT4_POSTW4_WTOT', 'N_PRE_PRT4_POSTW4_WTOT_AO']"
D32557,D32557,D,32557,EXT_ADDR_D32557,""" (OMR D32557)""",REAL,PLC,,,[]
D32558,D32558,D,32558,EXT_PRT4_POSTW4_AGT_SP,"""Time Preset  (OMR D32558)""",REAL,BOTH,,,"['N_PRE_POSTW4_4_TIME_SP1', 'N_PRE_POSTW4_4_TIME_SP1_AI', 'N_PRE_POSTW4_4_TIME_SP1_AO']"
D32560,D32560,D,32560,EXT_PRT4_POSTWI_CAUSTIC_SP,"""PRT4 PostWI Caustic SP (OMR D32560)""",REAL,BOTH,,,"['N_PRE_POSTW1_4_CAUSTIC_SP', 'N_PRE_POSTW1_4_CAUSTIC_AO']"
D32561,D32561,D,32561,EXT_PRT4_POSTWII_CAUSTIC_SP,"""PRT4 PostWII Caustic SP (OMR D32561)""",REAL,BOTH,,,"['N_PRE_POSTW2_4_CAUSTIC_SP', 'N_PRE_POSTW2_4_CAUSTIC_AO']"
D32562,D32562,D,32562,EXT_PRT4_POSTWIII_CAUSTIC_SP,"""PRT4 PostWIII Caustic SP (OMR D32562)""",REAL,BOTH,,,"['N_PRE_POSTW3_4_CAUSTIC_SP', 'N_PRE_POSTW3_4_CAUSTIC_AO']"
D32564,D32564,D,32564,EXT_PRT4_POSTWI_CAUSTIC_TOTAL,"""PRT4 PostWI Caustic Total (OMR D32564)""",REAL,BOTH,,,['N_PRE_POSTW1_4_CAUSTIC_TOT']
D32565,D32565,D,32565,EXT_PRT4_POSTWII_CAUSTIC_TOTAL,"""PRT4 PostWII Caustic Total (OMR D32565)""",REAL,BOTH,,,['N_PRE_POSTW2_4_CAUSTIC_TOT']
D32566,D32566,D,32566,EXT_PRT4_POSTWIII_CAUSTIC_TOTAL,"""PRT4 PostWIII Caustic Total (OMR D32566)""",REAL,BOTH,,,['N_PRE_POSTW3_4_CAUSTIC_TOT']
D32570,D32570,D,32570,EXT_N_PRE_LIT_TK105_AI,"""Reclaim TK105 Level (OMR D32570)""",REAL,BOTH,,,['N_PRE_LIT_TK105_AI']
D32571,D32571,D,32571,EXT_N_PRE_LIT_TK105_LOW,"""FEED WATER LOW LEVEL STOP (OMR D32571)""",REAL,BOTH,,,['N_PRE_LIT_TK105_LOW']
D32572,D32572,D,32572,EXT_N_PRE_LIT_TK105_HI,"""FEED WATER HIGH START (OMR D32572)""",REAL,BOTH,,,['N_PRE_LIT_TK105_HI']
D32573,D32573,D,32573,EXT_N_PRE_ACID_TOTAL,"""PRETREATMENT MONTHLY ACID TOTAL (OMR D32573)""",REAL,BOTH,,,"['N_PRE_ACID_TOTAL', 'N_PRE_ACID_TOTAL_BCD']"
D32574,D32574,D,32574,EXT_ADDR_D32574,""" (OMR D32574)""",REAL,PLC,,,[]
D32580,D32580,D,32580,EXT_START_OF_10_WORD,"""Start of 10 Word Sludge Address (OMR D32580)""",REAL,PLC,,,[]
D32581,D32581,D,32581,EXT_ADDR_D32581,""" (OMR D32581)""",REAL,PLC,,,[]
D32582,D32582,D,32582,EXT_ADDR_D32582,""" (OMR D32582)""",REAL,PLC,,,[]
D32583,D32583,D,32583,EXT_ADDR_D32583,""" (OMR D32583)""",REAL,PLC,,,[]
D32584,D32584,D,32584,EXT_ADDR_D32584,""" (OMR D32584)""",REAL,PLC,,,[]
D32585,D32585,D,32585,EXT_ADDR_D32585,""" (OMR D32585)""",REAL,PLC,,,[]
D32586,D32586,D,32586,EXT_ADDR_D32586,""" (OMR D32586)""",REAL,PLC,,,[]
D32587,D32587,D,32587,EXT_ADDR_D32587,""" (OMR D32587)""",REAL,PLC,,,[]
D32588,D32588,D,32588,EXT_ADDR_D32588,""" (OMR D32588)""",REAL,PLC,,,[]
D32589,D32589,D,32589,EXT_ADDR_D32589,""" (OMR D32589)""",REAL,PLC,,,[]
D32590,D32590,D,32590,EXT_PRT4_ACID_DRAIN_4,"""PRT4 Acid Drain 4 min Time (OMR D32590)""",REAL,PLC,,,[]
D32600,D32600,D,32600,EXT_ADDR_D32600,""" (OMR D32600)""",REAL,PLC,,,[]
D32601,D32601,D,32601,EXT_ADDR_D32601,""" (OMR D32601)""",REAL,PLC,,,[]
D32604,D32604,D,32604,EXT_ADDR_D32604,""" (OMR D32604)""",REAL,PLC,,,[]
D32605,D32605,D,32605,EXT_ADDR_D32605,""" (OMR D32605)""",REAL,PLC,,,[]
D32606,D32606,D,32606,EXT_DT_CAUSTIC_TOTAL_M,"""Day Tank Caustic Monthly Total (OMR D32606)""",REAL,PLC,,,[]
D32607,D32607,D,32607,EXT_ADDR_D32607,""" (OMR D32607)""",REAL,PLC,,,[]
D32608,D32608,D,32608,EXT_ADDR_D32608,""" (OMR D32608)""",REAL,PLC,,,[]
D32609,D32609,D,32609,EXT_ADDR_D32609,""" (OMR D32609)""",REAL,PLC,,,[]
D32610,D32610,D,32610,EXT_PRT_ACID_WATER_SCL,"""PRT_ACID_WATER_SCL (OMR D32610)""",REAL,PLC,,,[]
D32611,D32611,D,32611,EXT_ADDR_D32611,""" (OMR D32611)""",REAL,PLC,,,[]
D32620,D32620,D,32620,EXT_START_OF_10_WORD_2,"""Start of 10 Word Skimming Address (OMR D32620)""",REAL,PLC,,,[]
D32621,D32621,D,32621,EXT_ADDR_D32621,""" (OMR D32621)""",REAL,PLC,,,[]
D32622,D32622,D,32622,EXT_ADDR_D32622,""" (OMR D32622)""",REAL,PLC,,,[]
D32623,D32623,D,32623,EXT_ADDR_D32623,""" (OMR D32623)""",REAL,PLC,,,[]
