Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
DI,N_PRE_PREWASH_2_START_DI,,Sequence Start,OMR_FINS.EXT.H200.4,H200.4,H200.4,EXT_PRT2_PREWASH_START
DI,N_PRE_POSTW4_2_START_DI,,Sequence Start,OMR_FINS.EXT.H208.0,H208.0,H208.0,EXT_PRT2_POSTW4_START
DI,N_PRE_V4002_AUTO_CMD_DI,,RHT4 Slide Gate Valve AUTO CMD,OMR_FINS.EXT.H505.3,H505.3,H505.3,EXT_V4002_AUTO_CMD
DI,N_PRE_V4002_AUTO_CMD,,(NGC)RHT4 Slide Gate Valve AUTO CMD,OMR_FINS.EXT.H505.3,H505.3,H505.3,EXT_V4002_AUTO_CMD
DI,N_PRE_POSTW4_2_START,,(NGC)Sequence Start,OMR_FINS.EXT.H208.0,H208.0,H208.0,EXT_PRT2_POSTW4_START
DI,N_PRE_PREWASH_3_SKIP,,(NGC)Sequence Skip,OMR_FINS.EXT.H300.6,H300.6,H300.6,EXT_PRT3_PREWASH_SKIP
DI,DROP_REASON_POPUP,,,OMR_FINS.EXT.CIO340.2,CIO340.2,CIO340.2,EXT_DROP_REASON_POPUP
DI,N_PRE_PREWASH_3_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H300.6,H300.6,H300.6,EXT_PRT3_PREWASH_SKIP
DI,DROP_START,DROP_START_TIME,,OMR_FINS.EXT.H0.6,H0.6,H0.6,EXT_1DROP1STRT
DI,N_PRE_POSTW4_2_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H208.2,H208.2,H208.2,EXT_PRT2_POSTW4_SKIP
DI,N_PRE_POSTW4_2_SKIP,,(NGC)Sequence Skip,OMR_FINS.EXT.H208.2,H208.2,H208.2,EXT_PRT2_POSTW4_SKIP
DI,N_PRE_V4002_ZL,,(NGC)RHT4 Slide Gate Valve Closed,OMR_FINS.EXT.W14.4,W14.4,W14.4,EXT_N_PRE_V4002_ZL
